SNR noisy (dB),SNR enhanced (dB),SNR improvement (dB),SI-SNR enhanced (dB),MSE enhanced,STOI enhanced,PESQ enhanced,file
0.31,0.83,0.52,-6.28,0.051668,optional,optional,sample_000.wav
0.09,0.58,0.49,-8.28,0.051214,optional,optional,sample_001.wav
0.08,0.1,0.01,-13.97,0.049569,optional,optional,sample_002.wav
0.11,0.19,0.08,-12.61,0.047486,optional,optional,sample_003.wav
0.07,0.17,0.1,-13.37,0.050549,optional,optional,sample_004.wav
0.13,0.33,0.2,-11.01,0.059488,optional,optional,sample_005.wav
0.16,0.21,0.05,-12.35,0.080238,optional,optional,sample_006.wav
0.11,0.66,0.55,-7.72,0.034996,optional,optional,sample_007.wav
0.1,0.42,0.33,-9.81,0.05498,optional,optional,sample_008.wav
0.08,0.21,0.13,-12.54,0.048615,optional,optional,sample_009.wav
